Data/Time,CPU usage %,Temperature C
2022-04-05 00:13:19.339548,10.7,53.5
2022-04-05 00:13:29.677674,33.4,56
2022-04-05 00:13:40.057584,52.4,58.4
2022-04-05 00:13:50.417071,47,57.4
2022-04-05 00:14:00.767654,49.7,58.9
2022-04-05 00:14:11.127702,78.8,60.8
2022-04-05 00:14:21.507609,64.6,60.8
2022-04-05 00:14:31.952326,62.4,61.3
2022-04-05 00:14:42.331979,47.2,59.4
2022-04-05 00:14:52.717576,37.7,57.4
2022-04-05 00:15:02.938056,53.6,56.9
2022-04-05 00:15:13.317648,33.5,54
2022-04-05 00:15:23.677639,24.5,52.5
2022-04-05 00:15:34.067612,20.9,49.6
2022-04-05 00:15:44.417646,16.2,49.1
2022-04-05 00:15:54.787675,22.6,48.7
2022-04-05 00:16:05.187571,17.4,49.1
2022-04-05 00:16:15.547230,16.9,47.2
2022-04-05 00:16:25.907802,18.7,46.7
2022-04-05 00:16:36.287769,17.8,46.7
2022-04-05 00:16:46.552209,16.6,45.7
2022-04-05 00:16:56.913031,17.4,43.8
2022-04-05 00:17:07.307600,21.9,45.7
2022-04-05 00:17:17.657853,23,44.8
2022-04-05 00:17:28.017613,21.6,44.3
2022-04-05 00:17:38.397616,16.9,45.2
2022-04-05 00:17:48.777743,16.7,43.8
2022-04-05 00:17:59.167827,18.6,44.3
2022-04-05 00:18:09.539027,17.9,44.3
2022-04-05 00:18:19.917600,22.1,43.3
2022-04-05 00:18:30.154337,17.1,43.8
2022-04-05 00:18:40.507692,17.2,43.3
2022-04-05 00:18:50.740412,21.1,43.8
2022-04-05 00:19:00.967654,16.3,43.8
2022-04-05 00:19:11.374569,18.3,42.8
2022-04-05 00:19:21.737170,16,42.8
2022-04-05 00:19:32.057672,16.7,42.8
2022-04-05 00:19:42.427604,16.9,43.3
2022-04-05 00:19:52.807640,16,43.8
2022-04-05 00:20:03.187758,16.4,42.8
2022-04-05 00:20:13.587302,16.9,41.8
2022-04-05 00:20:23.977622,18.4,41.8
2022-04-05 00:20:34.277634,17.4,42.3
2022-04-05 00:20:44.517884,20.4,42.3
2022-04-05 00:20:54.937650,17,41.8
2022-04-05 00:21:11.157623,19.1,42.8
2022-04-05 00:21:24.637638,22,41.8
2022-04-05 00:21:35.077657,23.2,41.3
2022-04-05 00:21:45.487638,24,42.3
2022-04-05 00:21:55.925974,20.9,42.8
2022-04-05 00:22:06.337700,38.5,44.3
2022-04-05 00:22:25.477602,23.2,43.8
2022-04-05 00:22:35.687619,19.1,43.3
2022-04-05 00:22:46.007720,16.5,42.8
2022-04-05 00:22:56.427660,16.7,42.3
2022-04-05 00:23:06.652116,18.3,42.3
2022-04-05 00:23:17.036334,16.8,41.8
2022-04-05 00:23:27.257633,17.7,41.3
2022-04-05 00:23:37.537630,22.3,42.3
2022-04-05 00:23:47.756493,19.9,41.8
2022-04-05 00:23:58.137673,21.9,42.3
2022-04-05 00:24:08.517158,25.8,42.8
2022-04-05 00:24:18.767616,26.5,41.3
2022-04-05 00:24:29.147641,29,40.9
2022-04-05 00:24:39.517642,28.8,42.3
2022-04-05 00:24:49.794712,26,41.8
2022-04-05 00:25:00.021181,21,42.3
2022-04-05 00:25:10.442036,17.4,41.3
2022-04-05 00:25:20.657574,15.9,41.8
2022-04-05 00:25:30.867645,17.2,42.3
2022-04-05 00:25:41.229339,16,41.3
2022-04-05 00:25:51.467613,16.6,41.3
2022-04-05 00:26:01.717630,16.6,41.8
2022-04-05 00:26:11.957701,17.3,43.3
2022-04-05 00:26:22.327606,18.4,41.3
2022-04-05 00:26:32.617791,17.2,41.3
2022-04-05 00:26:42.847991,17.5,41.8
2022-04-05 00:26:53.097629,17,41.3
2022-04-05 00:27:03.347650,17.2,41.8
2022-04-05 00:27:13.598446,18.1,40.9
2022-04-05 00:27:23.979296,17,41.8
2022-04-05 00:27:34.387758,21.3,40.9
2022-04-05 00:27:44.768515,23.4,41.3
2022-04-05 00:27:55.137762,24.4,40.9
2022-04-05 00:28:05.539876,27.1,41.3
2022-04-05 00:28:15.927646,26.1,41.3
2022-04-05 00:28:26.292353,24.3,41.8
2022-04-05 00:28:36.547663,19.1,41.3
2022-04-05 00:28:46.937652,16.3,41.8
2022-04-05 00:28:57.186448,16.2,41.3
2022-04-05 00:29:07.447613,16.3,41.8
2022-04-05 00:29:17.667636,20.6,42.3
2022-04-05 00:29:28.057670,16.7,40.9
2022-04-05 00:29:38.305693,15.9,41.8
2022-04-05 00:29:48.517797,16.1,40.4
2022-04-05 00:29:58.907681,16.6,40.9
2022-04-05 00:30:09.314965,17.2,40.4
2022-04-05 00:30:19.527610,16.7,41.3
2022-04-05 00:30:29.757596,16.9,41.3
2022-04-05 00:30:39.968589,16.6,40.4
2022-04-05 00:30:50.217688,15.7,41.3
2022-04-05 00:31:00.598487,17.1,41.8
2022-04-05 00:31:10.817734,16.7,41.8
2022-04-05 00:31:21.059767,16.7,41.3
2022-04-05 00:31:31.467698,17.3,41.3
2022-04-05 00:31:41.699635,16.8,40.9
2022-04-05 00:31:51.937684,16.8,40.9
2022-04-05 00:32:02.197701,17.8,40.9
2022-04-05 00:32:12.437625,23.7,41.8
2022-04-05 00:32:22.649188,25.6,40.4
2022-04-05 00:32:33.017704,21.3,42.3
2022-04-05 00:32:43.267692,15.9,41.3
2022-04-05 00:32:53.663304,16,40.9
2022-04-05 00:33:04.038493,18,41.8
2022-04-05 00:33:14.423848,19.2,41.3
2022-04-05 00:33:24.667651,16.5,40.9
2022-04-05 00:33:35.041178,17.2,40.9
2022-04-05 00:33:45.255637,16.6,40.9
2022-04-05 00:33:55.517595,17.8,41.8
2022-04-05 00:34:05.887627,16.6,40.9
2022-04-05 00:34:16.137637,17.2,41.3
2022-04-05 00:34:26.367593,18.2,41.3
2022-04-05 00:34:36.597642,17.7,40.4
2022-04-05 00:34:46.837630,16.3,41.8
2022-04-05 00:34:57.058012,17.4,42.3
2022-04-05 00:35:07.277658,16.2,41.8
2022-04-05 00:35:17.667697,19,41.8
2022-04-05 00:35:28.048076,25.5,41.3
2022-04-05 00:35:38.433815,27.5,40.4
2022-04-05 00:35:48.668205,26.7,39.9
2022-04-05 00:35:58.937594,26.1,41.8
2022-04-05 00:36:09.167629,23.8,41.8
2022-04-05 00:36:19.559048,24.3,42.8
2022-04-05 00:36:29.817706,23.4,40.4
2022-04-05 00:36:40.277827,25,41.3
2022-04-05 00:36:50.548095,25.7,41.8
2022-04-05 00:37:00.809746,26.8,41.8
2022-04-05 00:37:11.167798,27.1,41.3
2022-04-05 00:37:21.410213,26.1,41.3
2022-04-05 00:37:31.720698,16.5,40.9
2022-04-05 00:37:41.977645,18.2,41.3
2022-04-05 00:37:52.227154,17.3,41.3
2022-04-05 00:38:02.737694,17.8,41.3
2022-04-05 00:38:13.107619,16.5,41.3
2022-04-05 00:38:23.367721,17.2,41.3
2022-04-05 00:38:33.707699,20.2,39.9
2022-04-05 00:38:44.101056,22.7,40.4
2022-04-05 00:38:54.507784,23,40.4
2022-04-05 00:39:04.879254,23,39.9
2022-04-05 00:39:15.087620,23.9,40.4
2022-04-05 00:39:25.327586,16.1,41.3
2022-04-05 00:39:35.677576,20.3,40.9
2022-04-05 00:39:46.028060,17.5,40.9
